TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
810367810788511,22.781715,103,810367810789625,12.731148,96,25,0.2830120173639619,-1114
62363079566850,20.83316,102,62363079567272,25.481449,97,10,-0.10036334323798354,-422
1712944473462744,23.096771,86,1712944473463942,18.045948,81,5,0.12276347122318292,-1198
1166271286166164,8.648735,79,1166271286167873,4.702606,73,25,0.29556049837990056,-1709
412125600659830,4.777313,86,412125600661987,3.783863,81,15,0.11604130086801162,-2157
798070665226746,9.957245,94,798070665226819,12.957939,89,2,-0.13094784663304468,-73
1613459355631765,18.636951,102,1613459355632994,13.557846,97,25,0.1577616718626926,-1229
835601412626633,18.855164,102,835601412626799,26.705654,97,5,-0.17230792476114018,-166
840493032091476,10.092823,103,840493032091326,10.662285,96,5,-0.027437197628651294,150
1184756267080739,16.109974,102,1184756267082589,11.519047,97,15,0.16616321656854943,-1850
86754435146087,5.435852,103,86754435147548,2.922787,96,2,0.3006548075589817,-1461
1172996976521530,24.085003,102,1172996976522058,27.678806,97,10,-0.06942694267340337,-528
682872711043135,18.603138,95,682872711043420,24.593887,88,5,-0.1386842959671412,-285
1121995740898266,20.34679,95,1121995740898631,24.095795,88,10,-0.0843561417500805,-365
1364277740608604,2.667183,79,1364277740608815,3.625427,72,5,-0.15228085007651834,-211
1575690582070638,21.292824,87,1575690582071710,18.331551,80,15,0.07473362040410728,-1072
884838770457337,9.600769,103,884838770457273,8.811794,96,28,0.04284981944121516,64
860813494920632,5.796253,87,860813494921214,7.60482,80,10,-0.1349568799453596,-582
1038885237970690,12.737961,78,1038885237971365,14.202419,73,5,-0.05435921839261363,-675
1346769653017855,25.583241,87,1346769653019551,11.700062,80,28,0.37236987828036583,-1696
833647845608974,5.212517,103,833647845608642,8.061314,96,5,-0.2146175433452482,332
105159915608752,17.630161,79,105159915609104,27.116428,72,2,-0.21199977946922385,-352
932049371753551,9.056725,87,932049371754109,11.612659,80,15,-0.12365796677830362,-558
878335610960648,26.15279,79,878335610961541,17.666237,72,20,0.19367278511227556,-893
352005043415670,7.877697,95,352005043416254,9.147694,88,5,-0.07459429272431976,-584
287076366236289,14.088978,103,287076366237391,9.437233,96,20,0.197726059670212,-1102
1217876655886272,6.080341,102,1217876655888155,4.648956,97,25,0.1334090201809121,-1883
1627501075685163,17.679405,103,1627501075685389,22.491436,96,25,-0.11978915253479512,-226
1484610335594392,14.215149,86,1484610335595475,14.870434,81,10,-0.02252954668297346,-1083
398410494390264,10.748993,79,398410494391312,7.301994,72,25,0.1909590317692878,-1048
1123304186103891,21.454075,87,1123304186104856,18.287773,80,15,0.07967173544622277,-965
595601828912209,24.329147,94,595601828914036,13.046555,89,5,0.30186970133698093,-1827
182918655641716,28.287708,78,182918655643218,19.074062,73,25,0.19453761968777766,-1502
1425843228638118,13.779873,95,1425843228638702,17.754692,88,10,-0.1260464192228432,-584
780562153463874,8.975597,79,780562153464242,12.55283,72,10,-0.16616323152639065,-368
1239084192311547,12.644131,95,1239084192313196,5.903229,88,28,0.3634426678513816,-1649
1323392240360685,21.414097,95,1323392240361771,17.174652,88,15,0.10986220361795102,-1086
235283633298908,16.520809,102,235283633299637,12.44656,97,20,0.14064960473282886,-729
96269602419072,13.384212,95,96269602419702,11.064079,88,5,0.09489959850363366,-630
935311150591690,27.326992,103,935311150592942,15.524414,96,25,0.27543035577409064,-1252
1240907947110568,12.047215,78,1240907947111639,9.496094,73,15,0.1184182522749871,-1071
1781327498024960,22.223469,95,1781327498026275,13.176247,88,25,0.2555732932998672,-1315
1779103545661369,28.102024,95,1779103545662559,20.624706,88,15,0.15345413082306159,-1190
364560828963803,16.952457,79,364560828964386,22.142056,72,15,-0.13274494556307687,-583
96174924364034,13.076244,102,96174924364360,18.505829,97,2,-0.17191984199390575,-326
1191582396757188,29.454189,79,1191582396757881,17.861664,72,28,0.24500298029077056,-693
979735266315599,25.86417,78,979735266316867,18.037983,73,5,0.1782643097253112,-1268
557247923387608,24.537582,103,557247923388677,17.818577,96,15,0.15863112139134236,-1069
892709961539185,15.607628,79,892709961539444,17.741016,72,10,-0.0639722562632531,-259
1373877281456315,16.830772,103,1373877281456553,12.88715,96,15,0.13270180869308423,-238
154529552227869,10.398533,79,154529552227599,13.121857,72,10,-0.11578566511864812,270
231297032305623,23.591927,79,231297032306363,22.774914,72,15,0.017620631088497044,-740
44995938877624,25.224209,87,44995938878967,13.480915,80,15,0.3034041177597054,-1343
1225245826333521,23.6036,87,1225245826334937,16.575943,80,15,0.17490634475359768,-1416
1446782400636872,21.725784,103,1446782400637350,22.256794,96,5,-0.012073189525179683,-478
53644924239264,14.587803,78,53644924240477,8.743721,73,25,0.25048008008392414,-1213
1786963694590064,29.432644,94,1786963694590988,22.608109,89,20,0.13113828310670297,-924
651216893458096,24.602352,94,651216893459256,19.520309,89,15,0.11517988454957416,-1160
1786355277473787,21.3521,103,1786355277475233,10.194004,96,25,0.3537075766947323,-1446
85909897701635,24.419994,95,85909897702753,17.050323,88,20,0.17770954101942363,-1118
1318503177028173,29.033447,87,1318503177029883,13.84462,80,28,0.3542330161478594,-1710
636236071802848,18.729832,79,636236071803067,27.157616,72,5,-0.18366207682763275,-219
971325746104810,9.201725,87,971325746104910,13.19989,80,2,-0.17847664108145775,-100
474439972556940,9.649075,95,474439972556659,13.670906,88,28,-0.17246287636340701,281
1252728481337271,18.640377,95,1252728481338950,8.49276,88,28,0.3739935046950155,-1679
1685422778276429,17.149487,95,1685422778278050,8.352753,88,28,0.3449396602023979,-1621
1695897891704622,7.633015,103,1695897891705023,10.704578,96,5,-0.16750088193145085,-401
370101162537568,14.080833,86,370101162538074,15.880146,81,2,-0.060055213816611254,-506
1619658964742725,20.066433,87,1619658964743331,22.193565,80,10,-0.05033440843986788,-606
141715806394426,20.6982,95,141715806395915,11.308868,88,20,0.29335183091434675,-1489
280293037933007,18.649559,86,280293037934709,9.85461,81,2,0.3085495669072128,-1702
1155699060088162,11.494991,87,1155699060088636,18.140987,80,2,-0.2242543168307116,-474
1157589962041574,18.43195,95,1157589962042945,10.542828,80,20,0.27227549422466674,-1371
402319788483508,23.016972,103,402319788484199,11.828564,96,25,0.3210858343519239,-691
1376375970826979,15.689426,87,1376375970827042,24.522911,80,2,-0.21967101787692672,-63
1140426109742628,8.684879,79,1140426109744158,6.958103,72,2,0.11038662577250297,-1530
1444603880069838,23.160282,95,1444603880071068,13.07555,88,25,0.2783082778394601,-1230
432420836959776,12.431293,87,432420836960547,15.124565,80,28,-0.09773863691705773,-771
652663912637004,20.143261,79,652663912637713,24.1064,72,10,-0.08956314942164192,-709
942832965917337,23.91753,79,942832965918097,16.186119,72,10,0.19278572381281306,-760
947433866471864,10.287197,95,947433866472220,11.370483,88,5,-0.05001856154491152,-356
1260192085292210,11.65324,102,1260192085294432,7.516605,97,25,0.21578865139493822,-2222
1418317497620726,25.633144,87,1418317497621985,17.836739,80,20,0.17935187449204773,-1259
218718579762962,23.928116,103,218718579764409,11.890247,96,15,0.3360809370322144,-1447
841036635885190,12.080742,95,841036635885823,13.906853,88,10,-0.07026856467479962,-633
1269530764218773,25.307125,79,1269530764219988,14.429558,72,25,0.273741192741226,-1215
1566287304278660,21.11636,102,1566287304278948,28.048973,97,5,-0.1410061231559237,-288
1348868742942800,8.800179,79,1348868742942888,11.977089,72,5,-0.15290316320702027,-88
958471164702168,23.164764,102,958471164703155,19.33876,97,20,0.09001615960126039,-987
1018120976852941,31.642178,79,1018120976854420,18.386139,72,28,0.2649707164844262,-1479
863139011601847,8.496334,79,863139011601937,12.391922,72,15,-0.18649656534274572,-90
820664538571107,3.019188,87,820664538571546,3.265034,80,2,-0.03912115135334172,-439
1594565470753198,8.757488,95,1594565470754454,5.981087,88,10,0.18837648822901812,-1256
1799070710207703,11.384346,102,1799070710207529,14.60318,97,25,-0.12386073226054681,174
882400564513862,23.785969,95,882400564514984,22.681602,88,5,0.023766402595048485,-1122
137883621386955,18.564404,102,137883621387272,25.69936,97,5,-0.16119180465538357,-317
1720499584365064,22.641285,94,1720499584365713,23.169388,89,20,-0.011527946773451713,-649
