TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t,n1,n2,ChargeL_zscore,ChargeR_zscore
62363079566850.0,20.83316,102.0,62363079567272.0,25.481449,97.0,10.0,-0.1003633432379835,-422.0,2.1040804,10.808724,0.37033158828859514,-1.0403501712391745
835601412626633.0,18.855164,102.0,835601412626799.0,26.705654,97.0,5.0,-0.1723079247611401,-166.0,3.6896272,13.010855,0.8484678982318495,-1.4368096899313696
1172996976521530.0,24.085003,102.0,1172996976522058.0,27.678806,97.0,10.0,-0.0694269426734033,-528.0,1.0884267,9.964573,1.0191398469678412,-1.1128526684446838
682872711043135.0,18.603138,95.0,682872711043420.0,24.593887,88.0,5.0,-0.1386842959671412,-285.0,11.548062,-1.4734156,1.1938188908079796,-1.7184618822137467
1121995740898266.0,20.34679,95.0,1121995740898631.0,24.095795,88.0,10.0,-0.0843561417500805,-365.0,11.470307,0.64994967,0.5980855209631898,-1.6843263150977543
1575690582070638.0,21.292824,87.0,1575690582071710.0,18.331551,80.0,15.0,0.0747336204041072,-1072.0,4.6596665,4.28937,1.1993469483875783,-1.0901208970203191
105159915608752.0,17.630161,79.0,105159915609104.0,27.116428,72.0,2.0,-0.2119997794692238,-352.0,-3.3833125,-0.8952425,1.668231707845574,-1.301884011305138
878335610960648.0,26.15279,79.0,878335610961541.0,17.666237,72.0,20.0,0.1936727851122755,-893.0,0.42008516,6.9349403,-1.0278197231428914,1.3191628875985126
1123304186103891.0,21.454075,87.0,1123304186104856.0,18.287773,80.0,15.0,0.0796717354462227,-965.0,4.7271104,4.2494617,0.5150087731840888,-0.5102684679461107
182918655641716.0,28.287708,78.0,182918655643218.0,19.074062,73.0,25.0,0.1945376196877776,-1502.0,-6.3702846,3.2578647,-1.1017046517216913,1.5626221295184664
935311150591690.0,27.326992,103.0,935311150592942.0,15.524414,96.0,25.0,0.2754303557740906,-1252.0,5.687668,7.929914,-0.3343079394967096,0.5069178842644896
1191582396757188.0,29.454189,79.0,1191582396757881.0,17.861664,72.0,28.0,0.2450029802907705,-693.0,-0.32496402,10.2238655,-0.8883704825416107,0.5006102729524636
557247923387608.0,24.537582,103.0,557247923388677.0,17.818577,96.0,15.0,0.1586311213913423,-1069.0,7.7513638,3.9983387,0.3110582431844515,-0.5385097102224135
231297032305623.0,23.591927,79.0,231297032306363.0,22.774914,72.0,15.0,0.017620631088497,-740.0,-1.6232412,2.346758,0.7506710308627469,0.5155109257658792
1225245826333521.0,23.6036,87.0,1225245826334937.0,16.575943,80.0,15.0,0.1749063447535976,-1416.0,3.0756383,4.7303486,-1.2937322344999724,-0.10695130475798705
1446782400636872.0,21.725784,103.0,1446782400637350.0,22.256794,96.0,5.0,-0.0120731895251796,-478.0,9.154258,0.6680498,-1.062911610244128,-0.24773542913622
1786963694590064.0,29.432644,94.0,1786963694590988.0,22.608109,89.0,20.0,0.1311382831067029,-924.0,17.012394,2.4402874,1.402807244792397,-1.0822264822829757
651216893458096.0,24.602352,94.0,651216893459256.0,19.520309,89.0,15.0,0.1151798845495741,-1160.0,16.47634,3.7559884,-1.400024784508534,0.9037287472304636
85909897701635.0,24.419994,95.0,85909897702753.0,17.050323,88.0,20.0,0.1777095410194236,-1118.0,11.13158,6.152078,0.040797002910490335,-0.3567777308148092
1318503177028173.0,29.033447,87.0,1318503177029883.0,13.84462,80.0,28.0,0.3542330161478594,-1710.0,-1.1570398,6.4180923,-1.2866297962226052,1.2764210781847167
