TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t,n1,n2,ChargeL_zscore,ChargeR_zscore
1387203116348667.0,23.617813,94.0,1387203116349280.0,26.074203,89.0,10.0,-0.0494322870700194,-613.0,13.69297,10.763667,-0.6585475766575274,1.294941940680102
1077127210375475.0,21.114368,86.0,1077127210376273.0,24.0499,81.0,5.0,-0.0649967801980096,-798.0,8.0447235,10.967025,-1.1989982465748408,1.2463277694982906
1684805215217500.0,27.536179,95.0,1684805215218946.0,16.915962,88.0,25.0,0.2389135092503193,-1446.0,11.709129,7.7813106,1.1467228481915765,-1.1569469354175397
1438723644093710.0,25.083607,95.0,1438723644094664.0,19.96627,88.0,20.0,0.1135926963796149,-954.0,10.568044,3.6166878,-0.580392509461382,0.5636263878896474
1419009469452130.0,24.524776,95.0,1419009469452955.0,20.282249,88.0,20.0,0.0946844161155533,-825.0,10.435714,3.366918,-0.1628215542489205,-0.10053057694215407
1244245891264247.0,18.164783,95.0,1244245891264320.0,24.085434,88.0,2.0,-0.1401330317427718,-73.0,10.925155,-1.3301129,0.23297032586273766,-0.14214725622808208
553728347355431.0,18.809868,94.0,553728347355614.0,24.499161,89.0,5.0,-0.1313650555407279,-183.0,13.368704,14.065405,-1.206063858563045,0.8567622716895652
121628383683796.0,21.855701,87.0,121628383684994.0,18.320408,80.0,15.0,0.0879949076203472,-1198.0,4.775794,4.1233473,0.0455246571169385,-0.16890352842210762
259872179909596.0,24.880737,87.0,259872179910406.0,17.089119,80.0,20.0,0.1856479564761909,-810.0,2.4012501,3.8648612,-0.9071452641190706,1.242993344430121
1109588478322597.0,24.254345,78.0,1109588478323149.0,26.113976,73.0,5.0,-0.0369206470074712,-552.0,-4.1777906,10.827533,0.27194324822459415,-0.2726431661961684
1571135085325598.0,26.031303,103.0,1571135085326479.0,19.608994,96.0,15.0,0.1407157582694959,-881.0,7.891999,4.9437547,0.6671892318249468,-1.1243575941893913
563233308988426.0,19.305576,86.0,563233308989125.0,24.200748,81.0,2.0,-0.112516332108408,-699.0,6.179677,12.102757,0.8200576691646894,0.2905208971362003
233356307424087.0,16.121723,87.0,233356307424937.0,21.204971,80.0,2.0,-0.1361826471961326,-850.0,3.9601276,0.87895465,0.878357044206241,-0.5378618991161387
1588070226277551.0,30.796162,103.0,1588070226278827.0,14.900902,96.0,28.0,0.3478398524684211,-1276.0,5.39524,11.458991,0.8278953095523772,-0.9562431574787064
265843149695852.0,31.242729,94.0,265843149697267.0,17.606026,89.0,28.0,0.2791617309386903,-1415.0,14.106224,-1.9334524,0.7238690886450275,-0.46201975815601387
214894574320602.0,25.085888,94.0,214894574321693.0,19.482178,89.0,15.0,0.1257337484646518,-1091.0,16.462898,3.6872985,0.7251514280689478,-0.506955074817741
541407908866846.0,28.633327,103.0,541407908868164.0,15.522705,96.0,25.0,0.2969157645324652,-1318.0,5.6481028,9.58693,-0.5927686875110167,0.6052910746482921
997383796832541.0,32.320522,86.0,997383796834510.0,18.082752,81.0,28.0,0.2824770867067087,-1969.0,7.9340405,-3.3792112,-0.47921994174558274,1.0703900479214137
1050810824962251.0,24.306664,86.0,1050810824963368.0,21.270145,81.0,15.0,0.0666242123269315,-1117.0,9.597656,5.4442997,-1.526918003298304,1.2242952393010211
1663098613756111.0,26.239761,87.0,1663098613756985.0,18.261147,80.0,20.0,0.17929103828623,-874.0,2.2206604,2.8984103,-1.203764935159682,1.0015821294067673
188134894170069.0,24.348541,87.0,188134894171038.0,16.854679,80.0,20.0,0.1818756398164997,-969.0,2.6883085,4.094384,1.506767466279328,-1.0674716387989511
977763711970880.0,21.576435,95.0,977763711971366.0,23.372231,88.0,10.0,-0.0399521534187466,-486.0,10.421015,2.1769817,-0.3517161327826996,0.6815891255003355
654600808793690.0,24.777004,102.0,654600808794732.0,24.041607,97.0,15.0,0.0150638657048231,-1042.0,1.4636838,3.815888,0.34228187489756867,-0.4479761224959226
1204573437405240.0,18.322754,103.0,1204573437405628.0,21.927994,96.0,5.0,-0.0895695155776981,-388.0,7.1021805,2.7902,0.4367865804641912,0.0018194217055164461
69750688283232.0,27.852909,102.0,69750688284455.0,19.383949,97.0,25.0,0.1792871151590988,-1223.0,3.7598066,-2.1575625,0.31842697972950557,0.0401409840552992
310379944138521.0,27.275616,86.0,310379944140120.0,17.454723,81.0,25.0,0.2195577592202017,-1599.0,7.769668,-0.008124249,0.35863706561351477,-0.7231932976533482
770817672051076.0,19.434383,103.0,770817672050873.0,24.654125,96.0,2.0,-0.1183923484097034,203.0,5.723709,-0.5425704,-0.9689249502521119,0.809733958096461
879080564655221.0,16.583912,87.0,879080564655157.0,23.16193,80.0,2.0,-0.165502041697846,64.0,3.2789347,-0.5665657,-1.1715242316785714,1.3643791115049353
1693541020302308.0,26.374531,87.0,1693541020303471.0,14.640831,80.0,25.0,0.2860806153557781,-1163.0,-0.145308,5.3915205,0.997541673001701,0.3638998358887551
34572368153339.0,26.843426,95.0,34572368154657.0,16.342789,88.0,25.0,0.2431478887418126,-1318.0,11.599931,7.909184,-1.3357406536388887,1.1393416666564091
1151549099546334.0,25.251953,103.0,1151549099547208.0,19.549934,96.0,15.0,0.1272718490629646,-874.0,8.145197,4.105653,0.6276509797426462,0.17907815427664375
1351561199758076.0,19.176441,95.0,1351561199758573.0,22.887299,88.0,10.0,-0.0882198777379281,-497.0,10.128854,0.2505941,-1.22375539788156,1.1390542662157086
1591094085225971.0,19.856831,95.0,1591094085226679.0,22.816719,88.0,10.0,-0.0693611850900616,-708.0,10.2451515,0.6792295,1.0998454049170692,-1.7393436300349754
804773321652193.0,28.094753,86.0,804773321654235.0,14.620281,81.0,28.0,0.3154503400371869,-2042.0,6.869106,-1.2218717,-1.2609725171786237,1.0859157934774928
1539759686937955.0,27.649727,94.0,1539759686938510.0,24.058502,89.0,20.0,0.0694517114480946,-555.0,17.010426,4.423949,0.49146002153537083,-0.23649708341545375
1352529759320950.0,20.470592,102.0,1352529759321292.0,28.595417,97.0,2.0,-0.1655896855193582,-342.0,2.638582,13.147459,-1.8398784794325107,0.47923956118134875
943015777063574.0,16.542782,87.0,943015777063776.0,24.416904,80.0,5.0,-0.192240780361451,-202.0,2.6997962,-2.3642924,1.25069783609301,0.08954647304244744
1577329407934398.0,17.55022,87.0,1577329407934662.0,24.091515,80.0,5.0,-0.1570850734245343,-264.0,2.5984979,-1.3690511,-0.9121602939739643,1.1305733756326235
1709789335070461.0,22.694229,103.0,1709789335071116.0,18.751396,96.0,15.0,0.0951326708186931,-655.0,8.493149,3.0100298,1.565657913733951,-1.3533635493833274
654898973303298.0,22.112923,78.0,654898973303691.0,25.963093,73.0,5.0,-0.0800850469805984,-393.0,-3.387577,13.179555,0.24884019110885497,-0.6600663708095846
1676648413342314.0,31.407349,78.0,1676648413343809.0,18.504089,73.0,25.0,0.2585231064670987,-1495.0,-4.293342,-1.238903,0.4048704368136577,-0.29884493597041245
1275408648425445.0,30.20163,86.0,1275408648427329.0,18.440083,81.0,25.0,0.2417996052071603,-1884.0,8.246054,-2.2211766,0.42125742732637744,0.2681107511132573
1198586086850747.0,24.564018,78.0,1198586086851207.0,23.844204,73.0,10.0,0.0148696640830972,-460.0,-4.8254633,9.760257,-1.0659317445903822,1.3982121362544992
601996118486792.0,16.903088,87.0,601996118487145.0,21.386944,80.0,10.0,-0.117102435432804,-353.0,3.9182696,1.3492447,-0.09720620691439526,1.4689609743372816
1204452030291879.0,20.234737,95.0,1204452030292246.0,23.939793,88.0,10.0,-0.0838731277955872,-367.0,11.416941,0.62624454,0.04538685799758004,0.07294394242715176
84061194457452.0,17.734695,103.0,84061194457371.0,22.308807,96.0,2.0,-0.1142285707179158,81.0,6.613648,2.9348345,0.3086818562939949,-0.04297606110950161
1180789528495369.0,25.497181,102.0,1180789528496128.0,23.220318,97.0,15.0,0.0467360403702169,-759.0,1.6319414,3.035576,-0.5557363098904563,0.6960200429202053
549538583962485.0,23.23061,103.0,549538583962973.0,20.348061,96.0,10.0,0.0661458675506648,-488.0,8.807433,2.546921,-1.086950400741319,1.2571510381126432
624005398185286.0,26.725185,94.0,624005398186749.0,15.914803,89.0,25.0,0.2535268537129982,-1463.0,13.3817835,0.1606709,-1.0183968531365182,-0.022898949381525705
1052248210172172.0,27.135281,95.0,1052248210173538.0,16.204567,88.0,25.0,0.2522093293912797,-1366.0,11.665996,8.15012,-0.7448158824800776,0.9420486746651675
902497592611075.0,22.67955,94.0,902497592611819.0,24.209679,89.0,10.0,-0.0326328462342599,-744.0,13.798631,11.435792,0.134073462651069,-0.21811859850740062
541082625998199.0,25.33054,103.0,541082625998768.0,17.836597,96.0,20.0,0.1736029656078418,-569.0,7.195364,5.2251005,0.9220206889717539,-0.15285388923757667
1420548175264559.0,24.820271,79.0,1420548175265233.0,21.607342,72.0,15.0,0.0692029762546698,-674.0,-1.2935236,3.598526,0.10274662475823118,0.09575973548467087
1708375534861602.0,26.618927,102.0,1708375534862905.0,16.773499,97.0,25.0,0.2268927761725052,-1303.0,5.127651,-2.2602475,-0.7564765651022738,0.8362982003996157
