TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
71775146495347,24.79549,79,71775146496637,15.809341,72,2,0.22130738581327922,-1290
369568723706275,11.078815,79,369568723706457,15.841568,72,2,-0.17691995689660137,-182
1456893138555134,19.334614,79,1456893138555260,26.136913,72,2,-0.14959469032126416,-126
1111328900291603,6.005627,79,1111328900291297,7.793655,72,2,-0.12957398797995437,306
1465725212111523,12.469734,79,1465725212112034,13.228546,72,2,-0.029527734930119794,-511
834999100566672,10.284695,79,834999100566786,15.271404,72,2,-0.19512794186624496,-114
93971923009032,16.643051,79,93971923009306,25.197891,72,2,-0.20446097986990827,-274
210674761612262,11.359978,79,210674761614444,7.226208,72,2,0.2224108808552761,-2182
398220706776881,7.443333,79,398220706777132,11.993645,72,2,-0.23410593971964164,-251
900281163116759,14.940578,79,900281163117099,21.276894,72,2,-0.17495191271218483,-340
537867499029535,19.215496,79,537867499030099,27.738426,72,2,-0.18151689224171727,-564
1060751748809284,17.692204,79,1060751748809390,24.018021,72,2,-0.15166106152628045,-106
1065899135170409,21.767338,79,1065899135171305,18.111774,72,2,0.09166613338832616,-896
377406978327822,14.021275,79,377406978328254,19.647831,72,2,-0.16711331747270036,-432
761563926183483,18.794132,79,761563926183883,22.257545,72,2,-0.08436715021410696,-400
953006366138874,17.007145,79,953006366140092,16.712883,72,2,0.00872662383317119,-1218
1109530352387712,17.653496,79,1109530352387621,24.667503,72,2,-0.16573349320038497,91
348366075906222,4.496136,79,348366075905905,6.990273,72,2,-0.21713809772923812,317
1785435139135527,13.844601,79,1785435139136244,12.715324,72,2,0.0425180793996971,-717
166985785593242,5.498661,79,166985785592663,7.869789,72,2,-0.17736745845629073,579
1347192288488662,13.685078,79,1347192288490394,8.794907,72,2,0.21753444230501046,-1732
890250352723181,18.518116,79,890250352723277,27.092918,72,2,-0.18799841284019128,-96
1231019981070859,18.404263,79,1231019981072408,10.155762,72,2,0.28881280741175824,-1549
455288858249001,6.176964,79,455288858249578,9.06057,72,2,-0.18924361382885185,-577
1227629781828390,10.543636,79,1227629781828573,13.702934,72,2,-0.13029875978334263,-183
76554777755770,9.148899,79,76554777756831,7.266365,72,2,0.11468192043697864,-1061
1622032618697651,8.355949,79,1622032618698254,11.400715,72,2,-0.15411336650762492,-603
72866321186245,10.86459,79,72866321186958,13.096909,72,2,-0.0931627441171356,-713
1249092064723170,12.774967,79,1249092064723463,16.933739,72,2,-0.13998495929105761,-293
1028675234990680,13.662762,79,1028675234990741,18.457958,72,2,-0.14928669095835959,-61
885402515316519,14.043774,79,885402515317873,10.018929,72,2,0.16726487460697997,-1354
772327265482368,17.491993,79,772327265482758,25.408905,72,2,-0.18453954040775558,-390
1031636448000295,18.823303,79,1031636448000680,26.814674,72,2,-0.17510353274423188,-385
1000783479681817,12.239697,79,1000783479682586,10.99654,72,2,0.053500788445220285,-769
613142932222941,20.409229,79,613142932224070,15.294197,72,2,0.14326445871048898,-1129
1544359022388219,18.833618,79,1544359022388757,26.428375,72,2,-0.16779546141505516,-538
633809596778874,4.897053,79,633809596778771,6.581551,72,2,-0.1467511206066522,103
