TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
1456893138555134.0,19.334614,79.0,1456893138555260.0,26.136913,72.0,2.0,-0.1495946903212641,-126.0
93971923009032.0,16.643051,79.0,93971923009306.0,25.197891,72.0,2.0,-0.2044609798699082,-274.0
537867499029535.0,19.215496,79.0,537867499030099.0,27.738426,72.0,2.0,-0.1815168922417172,-564.0
1060751748809284.0,17.692204,79.0,1060751748809390.0,24.018021,72.0,2.0,-0.1516610615262804,-106.0
1109530352387712.0,17.653496,79.0,1109530352387621.0,24.667503,72.0,2.0,-0.1657334932003849,91.0
890250352723181.0,18.518116,79.0,890250352723277.0,27.092918,72.0,2.0,-0.1879984128401912,-96.0
772327265482368.0,17.491993,79.0,772327265482758.0,25.408905,72.0,2.0,-0.1845395404077555,-390.0
1031636448000295.0,18.823303,79.0,1031636448000680.0,26.814674,72.0,2.0,-0.1751035327442318,-385.0
1544359022388219.0,18.833618,79.0,1544359022388757.0,26.428375,72.0,2.0,-0.1677954614150551,-538.0
1582167027357880.0,19.746319,79.0,1582167027358079.0,26.330154,72.0,2.0,-0.1428893005764569,-199.0
1173761187587787.0,18.49892,79.0,1173761187587972.0,26.437469,72.0,2.0,-0.1766619253718852,-185.0
673353297711702.0,16.42564,79.0,673353297711927.0,26.227066,72.0,2.0,-0.2297961118809202,-225.0
789021822040588.0,18.138035,79.0,789021822040882.0,27.954136,72.0,2.0,-0.2129667747696241,-294.0
1440823167077097.0,18.50053,79.0,1440823167077400.0,27.162041,72.0,2.0,-0.1896851362136397,-303.0
690329415396702.0,19.650318,79.0,690329415396870.0,27.423573,72.0,2.0,-0.1651287971924819,-168.0
1183601385496163.0,18.101215,79.0,1183601385496342.0,27.504417,72.0,2.0,-0.2061851045063908,-179.0
1561262102223691.0,19.753521,79.0,1561262102223875.0,26.344959,72.0,2.0,-0.1429860160248234,-184.0
992570308721283.0,18.584702,79.0,992570308721457.0,26.079262,72.0,2.0,-0.1677988097966405,-174.0
135405338569867.0,17.353893,79.0,135405338569924.0,27.496666,72.0,2.0,-0.2261459662074669,-57.0
1231639378606102.0,18.096325,79.0,1231639378606514.0,25.849777,72.0,2.0,-0.1764309380613552,-412.0
255951336720924.0,19.582596,79.0,255951336721033.0,27.923889,72.0,2.0,-0.1755821968306011,-109.0
833710405125859.0,17.763195,79.0,833710405126130.0,26.666588,72.0,2.0,-0.2003924484618797,-271.0
741075439068971.0,17.907066,79.0,741075439069333.0,25.68515,72.0,2.0,-0.1784282771951763,-362.0
1423450418079806.0,19.700291,79.0,1423450418079931.0,27.463409,72.0,2.0,-0.1645994271017752,-125.0
234904741479596.0,18.369846,79.0,234904741479951.0,26.531372,72.0,2.0,-0.1817662496371479,-355.0
921681162877140.0,18.755379,79.0,921681162877423.0,27.26767,72.0,2.0,-0.1849571287638939,-283.0
798856839196405.0,19.467796,79.0,798856839196541.0,27.783852,72.0,2.0,-0.1759950467759346,-136.0
1650763788113420.0,18.840282,79.0,1650763788113688.0,28.215347,72.0,2.0,-0.199233655977694,-268.0
1537835729445894.0,19.581207,79.0,1537835729445976.0,27.672249,72.0,2.0,-0.1712264601344714,-82.0
99436274277960.0,18.281834,79.0,99436274278181.0,27.178894,72.0,2.0,-0.1957087004853947,-221.0
1179056503797689.0,17.369892,79.0,1179056503797983.0,25.903973,72.0,2.0,-0.197210972488822,-294.0
1800688693318752.0,16.548717,79.0,1800688693319181.0,25.071083,72.0,2.0,-0.2047671060408748,-429.0
757791491277368.0,19.204212,79.0,757791491277414.0,28.445274,72.0,2.0,-0.1939383354523489,-46.0
116695313985829.0,18.828968,79.0,116695313986187.0,26.057793,72.0,2.0,-0.1610458148227714,-358.0
1259635639133811.0,21.232975,79.0,1259635639134356.0,23.796803,72.0,2.0,-0.0569362789219169,-545.0
528745752568905.0,18.297764,79.0,528745752569097.0,25.535263,72.0,2.0,-0.1651151995503299,-192.0
1521879158226194.0,19.39613,79.0,1521879158226645.0,25.68919,72.0,2.0,-0.1395811319515975,-451.0
734939826111367.0,18.107944,79.0,734939826111439.0,27.072395,72.0,2.0,-0.1984148680247839,-72.0
171607667630919.0,18.057697,79.0,171607667631130.0,25.805611,72.0,2.0,-0.1766377036588302,-211.0
392265913396577.0,18.146267,79.0,392265913396964.0,25.462486,72.0,2.0,-0.1677695071904485,-387.0
899592021338822.0,19.590881,79.0,899592021339272.0,27.389065,72.0,2.0,-0.1659896331085608,-450.0
971928262803422.0,18.561993,79.0,971928262803845.0,26.444908,72.0,2.0,-0.1751490288122703,-423.0
971578145847560.0,17.205666,79.0,971578145847586.0,23.918827,72.0,2.0,-0.1632399699128205,-26.0
1420704159909748.0,20.821888,79.0,1420704159910001.0,26.679146,72.0,2.0,-0.1233080105161499,-253.0
231616347119211.0,18.601074,79.0,231616347119531.0,26.449852,72.0,2.0,-0.1742201259081777,-320.0
1634280001474054.0,17.896137,79.0,1634280001474181.0,28.211143,72.0,2.0,-0.2237175127225028,-127.0
868277196290077.0,19.110294,79.0,868277196290458.0,27.384624,72.0,2.0,-0.1779620301728459,-381.0
1482820859165432.0,19.848812,79.0,1482820859165428.0,27.112617,72.0,2.0,-0.1546759788761965,4.0
323913091820259.0,16.854366,79.0,323913091820741.0,24.314625,72.0,2.0,-0.1812106349655254,-482.0
524281454035619.0,17.713306,79.0,524281454035630.0,23.814014,72.0,2.0,-0.1469083003670836,-11.0
45020397973962.0,18.090069,79.0,45020397974195.0,25.865196,72.0,2.0,-0.1768872739136028,-233.0
50552043914135.0,18.522015,79.0,50552043914127.0,26.504814,72.0,2.0,-0.1772898331348183,8.0
1465685497614776.0,19.692173,79.0,1465685497614843.0,28.903168,72.0,2.0,-0.1895448166522794,-67.0
4443774966577.0,17.93787,79.0,4443774966496.0,28.190033,72.0,2.0,-0.2222551283113823,81.0
1006312689477158.0,19.592327,79.0,1006312689477502.0,27.733959,72.0,2.0,-0.1720319232318377,-344.0
817683106668910.0,19.180069,79.0,817683106669188.0,27.85622,72.0,2.0,-0.1844565373769176,-278.0
825218623799513.0,18.22995,79.0,825218623799843.0,27.928841,72.0,2.0,-0.2101201264131896,-330.0
413919202524294.0,18.154209,79.0,413919202524732.0,26.699776,72.0,2.0,-0.1905196829222643,-438.0
47933875440833.0,18.925903,79.0,47933875441107.0,26.7897,72.0,2.0,-0.1720156026379002,-274.0
1152382524021194.0,18.541477,79.0,1152382524021618.0,27.13184,72.0,2.0,-0.1880827486210384,-424.0
850644681128993.0,17.88805,79.0,850644681129084.0,27.534691,72.0,2.0,-0.2123747001529475,-91.0
504422525070863.0,18.0756,79.0,504422525070932.0,25.900597,72.0,2.0,-0.1779371008366185,-69.0
1203815355807787.0,15.931255,79.0,1203815355807934.0,24.15303,72.0,2.0,-0.2051121780019277,-147.0
214251582510080.0,18.102772,79.0,214251582510328.0,27.30069,72.0,2.0,-0.2025818647926009,-248.0
1672834061189074.0,18.71999,79.0,1672834061189615.0,27.193779,72.0,2.0,-0.184558775821693,-541.0
649423367194738.0,16.072811,79.0,649423367195035.0,24.387871,72.0,2.0,-0.2055096352552831,-297.0
364558233345733.0,16.692127,79.0,364558233345862.0,23.809914,72.0,2.0,-0.175738970784213,-129.0
1319359413185623.0,19.314529,79.0,1319359413185904.0,28.417259,72.0,2.0,-0.1907058248058925,-281.0
713302883227640.0,19.700222,79.0,713302883227965.0,26.55101,72.0,2.0,-0.1481212003174315,-325.0
1624230278517909.0,19.165165,79.0,1624230278518321.0,26.451149,72.0,2.0,-0.1597232077979821,-412.0
1257391881220348.0,18.733723,79.0,1257391881220966.0,24.837238,72.0,2.0,-0.1400821753736393,-618.0
1004571532918090.0,18.494549,79.0,1004571532918406.0,27.465332,72.0,2.0,-0.1951872547276613,-316.0
524333077001878.0,16.494823,79.0,524333077002209.0,25.084381,72.0,2.0,-0.2065830312672652,-331.0
701958577922079.0,19.381638,79.0,701958577922365.0,27.01458,72.0,2.0,-0.1645164698553662,-286.0
244926364561313.0,17.09922,79.0,244926364561598.0,26.108032,72.0,2.0,-0.2085023134542322,-285.0
1578085844880955.0,19.160599,79.0,1578085844880966.0,27.24184,72.0,2.0,-0.1741555222991618,-11.0
1318733124640085.0,18.989403,79.0,1318733124640260.0,26.862606,72.0,2.0,-0.1717090084318879,-175.0
117180476204860.0,17.807583,79.0,117180476205176.0,26.359592,72.0,2.0,-0.1936281639022644,-316.0
1690147265485863.0,20.635338,79.0,1690147265486137.0,25.831097,72.0,2.0,-0.1118174656609657,-274.0
119480994013822.0,18.948792,79.0,119480994014181.0,26.999588,72.0,2.0,-0.1752139248434873,-359.0
2400653915408.0,17.952427,79.0,2400653915569.0,24.973557,72.0,2.0,-0.1635636354894042,-161.0
