TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
161009139057697.0,19.495586,79.0,161009139057862.0,26.416191,72.0,2.0,-0.1507370320255737,-165.0
435368158460499.0,17.54694,79.0,435368158460764.0,26.83123,72.0,2.0,-0.2092084914722712,-265.0
1332239757470249.0,18.521732,79.0,1332239757470432.0,26.170513,72.0,2.0,-0.1711433605539395,-183.0
1561984021677057.0,18.675716,79.0,1561984021677564.0,23.941368,72.0,2.0,-0.123557303920653,-507.0
34436937946732.0,17.580349,79.0,34436937947114.0,25.763298,72.0,2.0,-0.1887923505836968,-382.0
612135089551847.0,17.55434,79.0,612135089551964.0,24.268188,72.0,2.0,-0.1605318549849497,-117.0
278473748463822.0,16.809662,79.0,278473748464054.0,26.838676,72.0,2.0,-0.2297685194794817,-232.0
1179204628867174.0,18.485714,79.0,1179204628867357.0,26.021118,72.0,2.0,-0.1693089276720481,-183.0
400433930894467.0,19.441013,79.0,400433930895072.0,27.493492,72.0,2.0,-0.1715684228479665,-605.0
236456554439413.0,19.841022,79.0,236456554439688.0,26.376259,72.0,2.0,-0.1414024550687004,-275.0
454797821832952.0,18.987862,79.0,454797821833432.0,25.514931,72.0,2.0,-0.146666502482215,-480.0
1314320417617109.0,19.395943,79.0,1314320417617522.0,25.386307,72.0,2.0,-0.1337664811392906,-413.0
880151579276756.0,17.968029,79.0,880151579277091.0,26.373299,72.0,2.0,-0.1895583731727655,-335.0
1288755450052399.0,18.499889,79.0,1288755450052816.0,27.344986,72.0,2.0,-0.1929353499164301,-417.0
1469308192037472.0,20.108429,79.0,1469308192037740.0,26.982964,72.0,2.0,-0.1459828338482151,-268.0
428317860987869.0,16.974621,79.0,428317860987934.0,25.344833,72.0,2.0,-0.1977863892100309,-65.0
1235922703042861.0,19.403694,79.0,1235922703043364.0,26.387581,72.0,2.0,-0.1525156702887176,-503.0
1429264734982144.0,19.121662,79.0,1429264734982400.0,26.915337,72.0,2.0,-0.1692915517799064,-256.0
652725894889416.0,17.758671,79.0,652725894889988.0,26.509346,72.0,2.0,-0.1976748811675933,-572.0
483513354050985.0,19.164871,79.0,483513354051336.0,24.431835,72.0,2.0,-0.1208110539360473,-351.0
62762000816496.0,17.563187,79.0,62762000816729.0,24.745464,72.0,2.0,-0.1697590641686968,-233.0
1069970038617235.0,18.707394,79.0,1069970038617683.0,25.055885,72.0,2.0,-0.1450643357870876,-448.0
1282580717574444.0,20.496273,79.0,1282580717574706.0,28.632317,72.0,2.0,-0.1656071139025158,-262.0
9163189500980.0,18.708889,79.0,9163189501312.0,27.73896,72.0,2.0,-0.194413114803228,-332.0
1613025228275115.0,18.776848,79.0,1613025228275516.0,24.985844,72.0,2.0,-0.1418787491409349,-401.0
1579755290612276.0,19.608845,79.0,1579755290612144.0,28.425217,72.0,2.0,-0.1835441691356438,132.0
901700776762930.0,18.705006,79.0,901700776763277.0,27.577919,72.0,2.0,-0.1917102905661213,-347.0
537867499029535.0,19.215496,79.0,537867499030099.0,27.738426,72.0,2.0,-0.1815168922417172,-564.0
1180940234445249.0,19.1674,79.0,1180940234445663.0,24.964371,72.0,2.0,-0.1313559566870769,-414.0
30635027058010.0,18.145416,79.0,30635027058087.0,26.939728,72.0,2.0,-0.1950600845369374,-77.0
880549278313001.0,18.760342,79.0,880549278312888.0,26.418945,72.0,2.0,-0.1695158004596221,113.0
1115023210277712.0,19.161072,79.0,1115023210277846.0,27.595154,72.0,2.0,-0.1803841481987874,-134.0
1652809368128150.0,20.292316,79.0,1652809368128207.0,28.392059,72.0,2.0,-0.1663725373900763,-57.0
605174213360714.0,18.045616,79.0,605174213360663.0,27.365784,72.0,2.0,-0.2052385083921659,51.0
448033989500829.0,19.262012,79.0,448033989501107.0,26.544285,72.0,2.0,-0.1589797359083621,-278.0
911571550512441.0,16.255028,79.0,911571550512648.0,23.722588,72.0,2.0,-0.1867935296591972,-207.0
